card_number,card_holder_name,cvv_cvv2,card_pin
4123014212081510,Glen Goff,945,255
375062495667484,Rebecka D Hadley,4593,255
6011484562097300,Bryan Y Riddle,530,258
4548836936282950,Nanette A Mcgough,902,258
3569836739905170,Carroll B James,931,264
3583267573569950,Leif Jett,912,269
4229763847708300,Jarred P Wolcott,979,269
341332618688795,Mary O Strong,5429,269
4649391512377380,Curtis Z Wagner,396,271
3537183036674690,Valene K Boss,886,271
4939192814620790,Giovanni F Jaeger,88,275
3563516399823680,Walter Thomas,750,279
6011956047569840,Wilber Gleason,443,280
3529235478609810,Julie P Cullen,540,281
5275644188537700,Flavia D Lachance,725,281
6011565261355480,Gerald F Dillon,191,284
6011863643586160,Christine Q Wilkins,319,293
3566106750117240,Justin X Delgado,22,296
30598074471803,Timothy V Mercado,568,297
3574464001879650,Ines Y Quiroz,228,300
30950739432847,Burt Billingsley,840,304
36371662660847,Domingo U Rees,296,307
3555546936747530,Wendy Steele,492,307
3575726104773700,Tim L Mejia,728,308
6223870618102940,Kristy E France,609,312
3541194142119800,Dara G Olson,519,314
6545676097177510,Jesica N Ruby,627,314
4785504965242330,Betty Boyer,607,317
348873573993483,June N Woodard,9237,317
373789499893888,Cathy N Buck,778,323
30318332529130,Bruna V Gates,193,324
3552943243447840,Meg Rollins,701,326
341994383228261,Georgene L Toscano,4123,326
30017026160273,Lucius S Sena,619,330
4907821877852490,Lynna C Triplett,499,334
6452997572318880,Nicholas Y Juarez,413,343
4302179833069640,Alfred Nash,489,345
6443945630128000,Ronnie H Jarvis,493,345
373894406553268,Melva N Mota,3984,348
3589498201385630,Cynthia T Maldonado,64,351
5424773490421180,Bradley O Snow,594,351
4430785042253410,Horace L Burgos,278,354
3544221475770900,Pierre F Lindley,703,355
343239346854474,Gil E Karr,5423,357
4794317575731030,Dana Hays,8,359
5181862336948390,Hosea S Fernandes,140,361
371789598151735,Timothy X Jimenez,1185,366
4821476256648200,Rosita Cone,423,368
30111991823815,Heather Horne,35,372
4821848420590080,Oren Butts,415,372
3575469826962820,Derrick I Rivas,443,372
3534727793382270,Quentin Y Knox,50,373
6011334978462190,Latonya Y Buckner,748,373
6011621246051500,Clara Cummings,393,376
346977338171012,Wanda H Norman,8603,376
6011759823703060,Jenifer H Sykes,284,377
6011144796981330,Alfonso Hutchens,664,377
6011318384519430,Brooke A Roy,47,378
6011658095326120,Antonio Huffman,937,378
30297147921924,Kristen Zamora,151,379
344609750795158,Armando E Phelan,8261,379
349297653699241,Isaac E Butcher,3851,385
377331253378669,Ezekiel P Knight,4113,385
5438528422758200,Janelle C Graff,156,386
39208723087114,Iluminada A Peachey,309,393
6011315654956170,Beth J Schroeder,43,394
30538046747054,Norberto L Hannah,282,396
3585576875053720,Joshua G Hyde,764,399
375892141309234,Donald S Mccoy,3956,399
5374892100124050,Beatrice Case,184,403
6011131204425580,Kenneth H Spencer,195,406
3567011881862360,Tony Baxter,407,406
30518364878608,Darrell W Harrison,931,406
347157469127856,Sharon C Dewitt,888,408
4113913625429430,Cynthia J Singleton,929,409
5121799234607980,Lance Choate,851,411
6227287582345330,Elsie R Cantu,581,414
6011929934002190,Bonnie O Kelly,689,414
3574227120309290,Joshua L Larsen,973,415
30971367245426,Jeremy Q Bridges,487,418
30903441917118,Beverly Hahn,507,418
6011910123372860,Beverly F Villarreal,497,422
4400334651874430,Moshe D Boyd,924,429
3552297553874060,Dong T Serrano,716,430
6011164191106240,Harriett Grace,311,433
4370540099594190,Bryan I Benson,714,434
347007181873172,Herman D Bey,4118,434
30955075388438,Porfirio C Vanover,555,435
371791572319379,Lien E Ralph,6228,436
6011967711084420,Clinton P Peters,850,437
30934090880471,Ann Stokes,25,438
5113131622874470,Samuel Glaze,195,439
6011074144451070,Karen V Dillon,981,439
5119135037755860,Ayesha N Butterfield,838,442
341297678051889,Lemuel Sallee,8963,445
39265758714475,Cher B Furr,52,446
378061894501549,Leon Whitehead,1771,446
374983049162840,Marguerita G Morgan,1830,447
3528931019919300,Derek F Catron,64,456
3533019275791580,Angela H Faulkner,544,457
6011038820512990,Matthew A Madden,674,460
30955295691009,Pauline S Washington,730,461
371786645819710,Cory A Beaudoin,4115,462
4725630825460490,Peggy F Maynard,604,463
3581956957844840,Carmen U Carpenter,143,464
6222945503159810,Jean Q Knowles,580,468
3545221260977920,Norma L Rust,384,469
6596136518939030,Helen X Fitzgerald,751,470
343271409059709,Kelle Y Mcdonnell,8666,479
6011817679592450,Pa J Albert,181,483
5136012561766230,Kathyrn Z Barbosa,328,483
6011298385352610,Theodore O Bannister,507,484
378206875801711,Emilio V Schweitzer,9781,486
4668477636956760,Helen T Conover,995,491
376021377346111,Deon O Howe,3536,492
36128145436561,Joseph Roth,56,495
4161966132116320,Ali Hendon,504,497
3575208348113050,Clyde P Delgado,589,498
6477917822658830,Vernon Henry,416,499
372305650287942,Chris R Medina,1175,504
4211505169213680,Clifford L Hickman,316,509
3550309725363200,Josephina U Lucas,860,513
6011690634834490,Gail O Humphrey,861,514
6011218221121470,Keenan I Mahan,29,518
4964294193815400,Tina Mcintosh,815,518
5316514555974520,Ramon Acosta,875,528
30402490924984,Antonio F Boyer,709,529
6011509946164570,Jaclyn N Tuttle,602,535
5456539339338530,Nina R Lindstrom,93,537
38117977277670,Quintin L Race,427,537
3577423146655840,Lois Yates,672,538
30246974844873,Rochel V Braswell,822,538
30183587324680,Glenn R Halcomb,51,547
30952350536997,Jeffrey W Mosley,289,547
3536767721155750,Wyatt Kimble,335,547
30956993566857,Jill Hurley,730,554
4652251681122470,Elsie A Harding,32,561
6011336851328310,Bobby C Foley,524,562
5199469314642760,Russell Turk,838,562
5172235471272960,Ricardo Savage,684,564
370183358952063,Dewey F Mattos,6597,568
6011255562638210,Haywood Stanley,748,569
6011940189578570,Margaretta S Huffman,675,570
3553709739972190,Lynn A Norton,29,571
4367133601812550,Lyndon Barbosa,556,572
30962469248145,Maude Phillips,260,575
6510009884636500,Joann Terrell,544,575
3542915493993760,Quintin Iverson,475,576
4932023234810190,Tracy P Barrera,753,578
30973055647772,Classie S Ledesma,525,580
4421191499844150,Ludie Q Maloney,86,584
3585375013017230,Melissa Bell,804,585
5324272290273880,Sanora Boone,738,588
3538022376408440,Rosina G Madden,126,589
36753740760758,Wilfredo L Gilbreath,150,593
3533750091971110,Martin J Ketchum,872,596
6011793968775450,Glen Bernard,43,597
4778436300601040,Danny B Calderon,75,605
379158897662358,Benjamin Z Nash,1530,606
30004947254401,Rudy Q Hardman,501,609
4192390623970500,Norris Mccaskill,480,615
3532572211805210,Courtney I Sandlin,628,618
375299958634078,Helen Willis,9513,622
30092060259794,Marjorie A Nolan,237,623
5427251665512460,Chris Q Kerr,253,623
376052401507071,Jonathan W Workman,933,623
36387560287145,Paula Sutton,490,624
6011782102807970,Theresa G Foster,907,624
4947138470592730,Diane Dalton,700,625
376982784776564,Loreta Fahey,6407,626
6011032998256880,Steve M Parsons,346,627
6568035762418240,Beverly A Hayden,317,628
4702261448555510,Marianna D Trask,827,629
5342448556384590,Otha P Wendt,484,630
5212509849312070,Andrew E Ratliff,10,634
30187288710865,Val Hargrave,965,636
5119175675300930,Donald E Ball,42,638
3535941323812280,Merrill J Bowie,50,640
6011695181714700,Miguel Lang,887,643
3584908039032400,Sean F Hogan,737,644
4624767021954090,Don J Calhoun,635,647
375090545675702,Jacqueline U Richard,8819,648
346639483713911,Laura D Phillips,730,651
6011637442973770,Michelle Farrell,749,651
6011394896948210,Phillip H Greer,723,652
3543817424987730,Dominique Pierce,177,653
6011146618568200,Shelba Z Worden,597,653
30935535028055,Rachel B Glass,374,655
6011583802813310,Edwin D Ballard,448,659
5134945923879340,Yolanda R Le,564,662
5201234476569260,Sheila R Thomas,619,664
3579503635016830,Jeanette Perkins,752,664
4324705410012420,Brooks Whittaker,24,670
6011492605759130,Erna B Nielson,879,673
5344838004914170,Ronald P Washington,243,674
4716078002432810,Virginia M Cohen,658,676
340108819936121,Mina V Coffman,6282,677
30304869204529,Sacha Bergman,856,681
4379262263858750,Ray Caban,754,683
30486782850130,Ezequiel H Babcock,428,688
30169601690438,Harry Villarreal,278,689
30359375834920,Kathy Rhodes,898,689
30537372929260,Glen Cunningham,501,691
378122689451355,Perry Elkins,1170,693
6011498978709170,Jerome Donaldson,980,697
4485537372628100,Peter E Dotson,540,699
30292364772738,Evelyn V Morales,981,701
30159533863336,Stephenie Gilchrist,577,702
5268082673018180,Howard H Green,650,703
346537184078644,Nathan B Powell,675,704
4144501800284710,Wayne H Vasquez,88,706
30930420253314,Heather Y Gallagher,22,707
4248831328232660,Queen D Horn,490,709
374225261325378,Frank I Castro,1986,712
30594664179583,Jacquetta G Bragg,821,715
3530962617203080,Johnny Q Best,543,717
30904074911881,Ivan B Hauser,98,721
30228198091275,Martin X Powers,26,722
5365381344028060,Ronnie N Bullard,518,722
30348053819014,Hector Wilkins,705,723
4337023394966590,Willis M Tam,750,723
30057745094171,Juanita Carroll,29,725
4525240407905530,Clara E Bray,346,731
4735673478248740,Edwin O Becker,781,731
5207870229715140,Elenora T Whittle,804,733
6011662927234040,Donald R Kane,66,737
6011699942099290,Suzanne Snider,325,738
6011194639541300,Juliann Q Orth,848,738
4730001729945050,Rosa Q Humphrey,276,743
5413964411037880,Rick H Rosario,845,745
3562281017549220,Terrilyn Simms,326,749
4607071892033360,Clinton Q Gaskins,139,750
4848688442766170,Melvin H Berry,261,753
39041078763595,Donald Q Maxwell,849,754
373943976037119,Wallace O Crist,7744,758
6011985996531510,Michael Herndon,905,759
348261571776391,Alfonzo Chin,9601,761
6011050612254380,Dennis Hancock,332,765
3587903732729070,Clarence U Cruz,553,765
4966721347451020,Benjamin B Durham,742,765
6011734316207350,Alfred M Rees,130,767
5268841761553610,Vanesa Y Jasso,361,769
30112473198528,Leandro J Holm,5,770
5121231357351050,Aaron Berg,269,775
3547320690375710,Nestor X Batten,752,775
4627925312189450,Floyd Pena,173,783
3560397815664840,Gennie E Brantley,625,791
30193103068711,Angelyn Costa,716,791
3580777397791400,Lewis Z Hester,296,792
378944896320986,Erica Z Gaines,9077,792
30481765221813,Pete O Duffy,875,793
30901388375159,Thelma Newman,975,798
4972167318695010,Eliseo U Lightner,874,803
6011432804401570,Lillian H Reyes,664,806
348500814073052,Fredrick O Sheppard,2877,811
5359928955544360,Tomeka J Baca,951,817
5239174582654120,Carmen Griffith,215,818
6011786532405440,Donnie B Stahl,73,819
3536838040429120,Alessandra M Winfrey,206,819
3559624487966690,Ann Q Vega,321,821
3556364069256970,Carmelita X Salinas,147,825
5155980493793030,Eugene W Peters,429,826
5184073678601880,Jimmy Slater,49,828
4943827042883000,Adrien S Harness,339,829
4631808909042440,Roosevelt Motley,473,835
6011391766602950,Chauncey A Lombardo,735,835
3557654767945350,Donnetta V Richmond,112,836
30133091573058,Ana U Burns,763,837
4515308907110480,Alfred Park,263,838
3588636486105470,Leila N Thrash,593,845
3559134103022400,Katherine X Black,349,849
4322020385569990,Francisco Lynch,304,850
3549251997999190,Roberto Morin,416,850
6011935930821690,Melanie S Crosby,840,850
6011610182604310,Brian J Huggins,292,851
375943463780823,Florence B Williams,5942,854
5335843017098290,Dwight B Cordero,116,856
4070916050048200,Santos Waldron,329,857
6011267694379330,Rudy Strickland,845,860
374054875083649,Lester A Mckinney,6427,863
377801752590915,Beth L Hill,2294,864
4439492472322950,Rodrick Ratliff,473,865
344626151641799,Jamie V Burton,3446,868
6011055293959950,Derrick U Todd,135,869
348113710387913,Judith Velazquez,9886,870
4238311217765130,Mario P Booth,138,872
5271677353053500,Salome R Scoggins,190,873
3571686356843540,Sigrid I Holman,884,873
5219031951574350,Gerald H Morton,252,874
4216816596923400,Lyn R Thorton,677,875
4422242087541360,Audrey T Berg,558,876
3550429848074390,Loretta Nadeau,416,877
3560140373385250,Kum Wyatt,620,882
4319156188341730,Stephanie J Alvarez,324,883
30330723182056,Ulysses U Barnhill,487,883
371603329710943,Zella A Cambell,3659,883
30980428614850,Macy Z Engle,200,886
3560306912263810,Elizebeth Y Darby,921,889
374038586019174,Sherise Sims,7519,891
373840307593887,Paris D Xiong,6147,893
30382453657096,Josphine X Earle,779,895
376759755820328,Buster Q Fulcher,2091,896
38060173220187,Karie M Yost,983,898
343550951200518,Norman Glover,3588,899
4857089144104310,Krystal O Emerson,758,902
5379206880683020,Florence Blake,865,902
3556122852703610,Dan Bernard,152,903
6011632107745380,Liberty Fennell,951,910
4652209400476540,Tony W Cash,284,913
4024387783713040,Denice X Derr,140,919
5442730356521020,Napoleon C Stephen,53,927
6227352864121150,Casey Draper,42,929
345399230882854,Kraig B Benner,699,930
4110990843792720,Nelson Griffiths,930,930
6011833634756660,Marie Mcgowan,62,931
3585326258726700,Edwin Mack,262,932
4929967439411820,Morton H Hopper,550,934
30192924068843,Antone K Wyant,66,939
5185897993864780,Sherman Q Gale,58,941
4235312045071160,Lisabeth Rincon,308,945
5335592292268260,Edda Cambell,618,950
3588287141372500,Thelma Harris,778,952
4107690864066310,Joann D Allison,326,954
30270506634438,Adolfo Cassell,712,954
5498526608701180,Alvaro U Lusk,325,962
5289499788967320,Nicholas K Walters,854,964
4659009857287290,Hollis W Yancey,660,966
3563418942582410,Alec I Sides,972,966
30404468812316,Danny Guerra,413,969
6011245276113560,Shirley Melendez,579,972
6011440220363200,Paula V Buchanan,685,975
375305470310707,Keith G Burton,3312,979
30165285200437,Shirley Waters,51,981
4229413764138070,Lakia Z Moorman,198,985
5120603793039260,Cornell Gilchrist,198,986
30003809294968,Grant O Rapp,574,987
5107770209538120,Jacob U Klein,268,988
3553101707226550,Alice S Mcneil,357,988
370546832218899,Christopher E Dunn,2568,990
374833689849877,Clara Z Pearson,3832,990
5140509022294610,Melanie X Weber,42,993
5276245444024660,Phillip U Washington,241,993
4667016177755060,Dewitt L Porter,966,993
3547812606909640,Albertine D Crain,473,995
4867617056138330,Harry U Palmer,637,1002
3574360874881380,Gustavo Tracey,743,1002
370377610148862,Carl B Cardenas,7872,1002
4873855557381120,Jay Conley,354,1004
6011931768563170,Elisa A Brown,425,1007
5286811039719470,Orval J Clem,806,1010
5339774385951910,Aide C Greiner,120,1012
4566440582353480,Jackson O Wisniewski,689,1012
5404801998639310,Sandra P Hahn,286,1017
4140942365038710,September G Ornelas,107,1018
6011748621682160,Derek N Coffey,942,1019
5341027929892720,Randall U Cameron,678,1021
6011891903457690,Virginia G Woodard,12,1023
6573525997524100,Araceli Stuckey,74,1024
4168471084740550,Shandra A Broyles,856,1024
5273834829301070,Doris I Stephenson,535,1028
6516548518049950,Nicole T Pacheco,657,1030
5489943384746170,Audrey S Wolf,46,1033
345356129197992,Audrey Walker,9933,1034
5137487248818780,Derick X Peachey,717,1040
4430848228898240,Alexander Good,832,1040
4437221223560370,Joanne C Johnson,284,1041
378720528234344,Chi B Clemons,1031,1043
3559240245717240,Denise Z Simon,603,1047
6011060505798620,Reta H Killian,996,1047
6011701024244910,Reid B Sturgeon,63,1053
3576731896504400,Jerome E Alston,174,1053
6011974066656130,Ronnie Dyer,134,1058
30592248292823,Elisa Woodcock,398,1059
5458915546679020,Denise V Woodard,516,1060
344661352815355,Curtis D Wooten,5828,1060
5255770889576290,Matthew Petit,289,1061
5387652238335220,Sharon N Holt,296,1061
3564747308012970,Lewis Jacobson,935,1061
30536561228716,Jim Morrison,145,1062
3579538869705980,Azucena H Lau,206,1064
4801163699419410,Gladys W Thompson,220,1065
4653137561530750,Ruby S Clarke,952,1066
342131259180552,Chang Barden,7061,1066
6011262263489600,Calvin J Pruitt,88,1067
5378272711288100,Shane V Brady,251,1070
4439938810468020,Timothy Long,562,1072
6011770230203220,Shirley S Bailey,100,1074
6011168715589880,Jonathan A Bailey,294,1074
4010534388812420,Edmund A Ezell,370,1074
4732507905269920,Tiffany E Diaz,890,1079
6011841398815030,Jamar I Lemke,26,1080
3540808793373730,Rheba Raney,549,1080
6011660285379400,Alysha Q Cintron,617,1081
6225159933552910,Willy Grier,110,1084
4004995636106900,Elsie Neal,113,1084
3584101278506330,Sandra F Berry,323,1084
370441298864651,Heike Weinberg,9567,1084
30494383747606,Virgie Harter,266,1086
375032957592678,Annette J Lloyd,5184,1086
6011075081989720,Marcus Avery,38,1087
6011637491848820,Arnoldo Y Scherer,7,1090
6011078328886280,Dallas O Herrin,382,1090
379760906126596,Marcus B Underwood,5913,1092
377621556581617,Brittany Daugherty,8210,1093
6529259662210750,Hassan Groves,574,1095
30318477901268,Denise S Leon,838,1098
5212057094123440,Titus A Still,906,1098
4506841646254040,Concepcion R Mota,102,1099
30978024116585,Tien X Soares,76,1101
5471085714153210,Pamela Allison,929,1101
6011030534322960,Jadwiga N Roland,201,1102
6011256558073370,Bart Lessard,318,1103
5222815967865890,Dan N Baldwin,297,1105
30078893982892,Donnie V Covey,158,1106
3547007976742030,Tanja B Weiss,190,1108
3571769852255650,Bobette V Harbin,970,1108
4220780052881860,Tammy S Forbes,939,1110
5228876460821550,Darron T Goldsmith,474,1113
3577500214914200,Ma Sandoval,637,1116
30983762772870,Johnathan M Charles,786,1116
343246839003451,Dale T Harper,9478,1116
347897017250177,Kizzy H Qualls,6278,1117
372229427663005,Teofila Y Rodriguez,2452,1118
30130628615345,Johnny T Pittman,172,1119
3569010035875740,Florentino S Lovejoy,831,1121
4674956812897430,Janine S Denny,942,1121
373693420856206,Nell X Rooney,5485,1125
4873484317737060,Ida Bean,733,1130
5293241239528370,Humberto E Jaeger,238,1131
5203538895078880,Russel C Abraham,744,1131
4780356328177320,Luis Stark,137,1134
39754596598687,Nadia Y Snipes,835,1136
6011830099919770,Monica V Duncan,773,1137
4465359272041990,Phyllis K Evans,13,1138
5319202030819620,Jesse Shinn,517,1139
348685114022931,Kathryn U Mills,7341,1141
5373396753969460,Nathanael Z Spencer,155,1143
5449699565846320,Fiona G Seay,593,1155
3531458547407200,Annette S Luna,288,1156
5169988512883970,Dwain A Hawes,207,1157
30920942348387,Alan Y Rivera,658,1157
346893858762173,Sam I Dejesus,3761,1157
341182836347801,Kenneth Moore,2176,1159
6011313155331150,Melvin Ross,516,1160
30573059353565,Grace J Rosa,482,1163
39443650765826,Kim V Reed,178,1164
4144235804273130,Kaitlyn Z Parr,614,1167
4849744433319300,Merle Hamel,484,1168
5423053736774390,Tim Wall,618,1170
3547734097347450,Diane Burke,145,1171
3576346923524710,Janet Q Boyer,996,1172
30267356489590,Katie Fry,352,1175
30343406916484,Darren U Wickham,676,1175
6540615549661190,Troy H Kinney,504,1176
3537929949910770,Jacqueline E Noel,670,1177
375880168213173,Joann Palmer,5681,1177
5486260902456960,Abraham M Watt,978,1178
374684145539606,Leena N Heflin,8051,1180
5391190682557730,Jean Z Holt,558,1182
30095424830754,Jennifer C Hogan,695,1183
36888753893532,Roberto Z Meyer,245,1188
3572079453616970,Sam Figueroa,55,1189
3546765185003930,Tommy C Durham,806,1189
3570425720092790,Jonathan W Lewis,519,1192
30453388413861,Lonny Z Hatchett,696,1192
30910938898883,Ernestine P Trudeau,123,1194
5168775219616630,Bessie W Mundy,758,1196
6444249983342390,Kimberly O Byers,4,1198
4624648637122520,Brant East,151,1198
6011570058255040,Stacy L Wheeler,297,1198
3556690949964750,Daysi G Delgadillo,527,1200
30197067226124,Verla Pettigrew,179,1202
5446267294409350,Jon T Unger,830,1205
378835904550293,Roger R Ward,3341,1207
30415106919008,Jonathan N Lott,612,1208
30492415321127,Miguelina Holland,252,1213
5463242876280540,Marianna R Pringle,314,1213
30158294535869,Lauren D Stuart,359,1217
6011460080946320,Angel Garay,985,1218
4889848872015440,Lavona B Blythe,693,1219
36823477849072,Fredric Massie,612,1224
5195293666286350,Nilda A Kinard,415,1225
5138413666772130,Bonnie C Fowler,840,1227
3557988447753050,Ronald Tyner,621,1229
4627444012908590,Floyd U Lambert,749,1232
6011812508763540,Elden Shin,465,1235
3545015744407610,Edward H Bradford,690,1236
347283739964736,Alfred A Whitaker,7853,1237
5463613223588210,Leonard S Rosales,643,1239
4445335541731050,Derrick V May,675,1242
3585687298123690,Charles T Coleman,579,1243
4097825836117800,Lillian V White,886,1244
30909253674762,Chelsea Z Wingfield,536,1245
4121643667812060,Barbara Decker,414,1247
377353286797566,Beverly Fitzpatrick,1024,1260
373053753635984,Christiana M Hershberger,7549,1266
30560108611184,Kelly D Norman,936,1269
4012493542764350,Curtis Lombard,170,1270
30915852455917,Jacob O Stanton,138,1271
6011828798664380,Rheba D Sprouse,993,1275
30079252253248,Joshua V Merrill,904,1276
30213400224807,Marquetta Dyson,410,1282
4512171199205740,Carie O Schumacher,377,1283
371912925686187,Frankie Rendon,4941,1284
6011647090228300,Jeffery Puckett,651,1285
6011545789791430,Kim J Stone,688,1285
6011040385971710,Shirley B Pugh,115,1287
4967172769858830,Andre N Haller,479,1287
4624246159311060,Timothy Y Mercer,341,1291
6011613831916900,Genoveva Ness,554,1291
5294840072886330,Bruce Pedigo,894,1295
3579590271370970,Brendon R Mercier,871,1296
3560852979258230,Arlen O Dahl,120,1300
6011975698918510,Sally B Lowery,242,1301
3559250480913950,Cletus S Friday,785,1301
4753251065589350,Lawrence N Hall,49,1303
3560159266124160,Morgan N Carr,53,1307
5268950601717830,Willy Y Garber,774,1311
5449162262674090,Amanda H Dodson,970,1312
4500202128474150,Shane E Newman,77,1313
347042273971816,Alexander Witt,4674,1313
3575581391083080,Jerome T Simpson,896,1316
5181300244613750,Josephine Q Wells,423,1317
5116901160340860,Stacy Y Robinson,557,1317
4302136564882570,Jessica C Todd,430,1318
3574255592665200,Dawn Serrano,356,1319
6011617785767990,Jane Shields,928,1319
371419710499362,Juli G Robert,9733,1321
4077503797454990,April Rice,551,1322
6011709170435210,Jeffery K Allison,97,1332
6011582667437140,Ronnie X James,585,1332
345306267639982,Roberto O Combs,7955,1332
5207554783642430,Celeste Tribble,204,1333
3533102354217680,Tim K Schmidt,637,1333
5483159393314090,Yolanda E Rutledge,773,1337
5415033766218530,Joe Perry,487,1341
30413156622838,Bryan H Cabrera,898,1341
377795972862585,Jacqueline Travis,303,1342
30972195234459,Bradley U Wagner,659,1342
6227501440250050,Emma J Alvarez,974,1342
4266666973251690,Gloria D Huber,646,1343
6011407027967890,Cesar Grey,315,1344
30587118029792,Margarite P Connors,90,1345
4205164241612170,Theodora R Wheat,331,1346
3582352277948450,Kraig O Dalton,791,1346
4969804289100450,Pamela J Parker,776,1349
30064555124346,Lonny Q Hooks,58,1352
30497754706945,Matthew J Larsen,689,1352
4880007890987870,Steve Kerr,90,1354
6465249160390240,Terence G Odell,800,1355
375425486528546,April G Conway,5489,1357
38392680923668,Derek J Gonzales,260,1360
3570786984755250,Lori U Dunn,100,1364
