card_type,issuing_bank,card_number,issue_date,expiry_date,billing_date,credit_limit
Diners Club International,Diners Club,30538046747054,43009,44105,13,170000
Japan Credit Bureau,JCB,3585576875053720,41214,47423,18,40800
American Express,American Express,375892141309234,41821,46204,20,30300
Master Card,Chase,5374892100124050,40210,44958,5,46900
Discover,Discover,6011131204425580,42125,46508,2,69500
Japan Credit Bureau,JCB,3567011881862360,42795,44986,17,15700
Diners Club International,Diners Club,30518364878608,42309,43770,20,53100
American Express,American Express,347157469127856,41061,44713,24,121700
Visa,Chase,4113913625429430,41306,48245,27,84800
Master Card,Bank of America,5121799234607980,40179,46388,13,177100
Discover,Discover,6227287582345330,43009,45566,8,104200
Discover,Discover,6011929934002190,41883,48092,8,127500
Japan Credit Bureau,JCB,3574227120309290,40391,41122,22,80600
Diners Club International,Diners Club,30971367245426,39569,41395,4,112300
Diners Club International,Diners Club,30903441917118,42005,43466,15,47200
Discover,Discover,6011910123372860,40513,45261,24,142300
Visa,Bank of America,4400334651874430,40575,45689,1,12300
Japan Credit Bureau,JCB,3552297553874060,41913,42278,9,105200
Discover,Discover,6011164191106240,43070,49279,6,10400
Visa,PNC,4370540099594190,42948,46966,26,185100
American Express,American Express,347007181873172,41275,41640,14,94900
Diners Club International,Diners Club,30955075388438,41852,43678,1,14700
American Express,Bank of America,371791572319379,39845,41306,14,113200
Discover,Discover,6011967711084420,39965,43983,7,187700
Diners Club International,Diners Club,30934090880471,42339,48183,18,145500
Master Card,Capital One,5113131622874470,41791,48731,18,71300
Discover,Discover,6011074144451070,40087,45200,25,85200
Master Card,Citibank,5119135037755860,40148,47453,5,142900
American Express,U.S. Bancorp,341297678051889,39448,40179,2,145200
Diners Club International,Diners Club,39265758714475,42856,44682,18,102900
American Express,American Express,378061894501549,40909,41275,14,190200
American Express,American Express,374983049162840,39356,40817,7,136900
Japan Credit Bureau,JCB,3528931019919300,42491,44317,28,142300
Japan Credit Bureau,JCB,3533019275791580,39753,43405,20,190800
Discover,Discover,6011038820512990,42583,47696,10,157400
Diners Club International,Diners Club,30955295691009,40787,46631,28,40800
American Express,American Express,371786645819710,41244,47818,5,150300
Visa,PNC,4725630825460490,41579,41944,1,114100
Japan Credit Bureau,JCB,3581956957844840,40695,45809,19,142400
Discover,Discover,6222945503159810,41609,41974,8,56700
Japan Credit Bureau,JCB,3545221260977920,40238,40603,24,181100
Discover,Discover,6596136518939030,39630,45839,14,126800
American Express,USAA,343271409059709,41609,47088,24,162400
Discover,Discover,6011817679592450,40179,42005,23,26100
Master Card,Chase,5136012561766230,41791,43617,8,62700
Discover,Discover,6011298385352610,39814,42736,5,36400
American Express,American Express,378206875801711,39508,43891,14,63900
Visa,Chase,4668477636956760,42339,42705,28,72800
American Express,American Express,376021377346111,41275,45292,17,131700
Diners Club International,Diners Club,36128145436561,41395,42491,4,172700
Visa,Bank of America,4161966132116320,42309,43770,3,148900
Japan Credit Bureau,JCB,3575208348113050,39630,44013,24,50900
Discover,Discover,6477917822658830,39173,46113,12,166500
American Express,American Express,372305650287942,41183,45200,23,11300
Visa,Capital One,4211505169213680,39995,41456,14,189500
Japan Credit Bureau,JCB,3550309725363200,42064,44986,1,86600
Discover,Discover,6011690634834490,40330,44348,11,41800
Discover,Discover,6011218221121470,42156,43617,11,113200
Visa,PNC,4964294193815400,42125,46874,1,175200
Master Card,USAA,5316514555974520,42795,44621,14,68000
Diners Club International,Diners Club,30402490924984,39356,43739,4,162900
Discover,Discover,6011509946164570,41275,47119,14,95000
Master Card,Chase,5456539339338530,41760,48335,26,46600
Diners Club International,Diners Club,38117977277670,42370,44562,4,34500
Japan Credit Bureau,JCB,3577423146655840,39173,44287,5,28300
Diners Club International,Diners Club,30246974844873,42552,49126,11,40700
Diners Club International,Diners Club,30183587324680,40940,45689,10,196500
Diners Club International,Diners Club,30952350536997,41334,44621,18,22900
Japan Credit Bureau,JCB,3536767721155750,40969,44621,15,24500
Diners Club International,Diners Club,30956993566857,41030,46874,7,30800
Visa,Chase,4652251681122470,39173,45383,5,28700
Discover,Discover,6011336851328310,39539,44652,6,166400
Master Card,Capital One,5199469314642760,41944,46692,20,119900
Master Card,GE Capital,5172235471272960,41183,45931,16,87900
American Express,U.S. Bancorp,370183358952063,40118,40483,17,15400
Discover,Discover,6011255562638210,41974,47453,13,98200
Discover,Discover,6011940189578570,39295,40391,17,49800
Japan Credit Bureau,JCB,3553709739972190,41000,47574,19,98600
Visa,Citibank,4367133601812550,39083,43101,1,71000
Diners Club International,Diners Club,30962469248145,39417,42339,17,164400
Discover,Discover,6510009884636500,42795,45717,6,118900
Japan Credit Bureau,JCB,3542915493993760,41913,47392,25,99400
Visa,U.S. Bancorp,4932023234810190,42430,46447,9,151200
Diners Club International,Diners Club,30973055647772,41334,41699,13,186600
Visa,Chase,4421191499844150,41883,48823,18,189300
Japan Credit Bureau,JCB,3585375013017230,40057,46631,13,145900
Master Card,Chase,5324272290273880,41699,44256,19,98100
Japan Credit Bureau,JCB,3538022376408440,42917,48396,10,87000
Diners Club International,Diners Club,36753740760758,43040,49614,27,13100
Japan Credit Bureau,JCB,3533750091971110,42156,46905,26,87700
Discover,Discover,6011793968775450,41944,49249,19,70700
Visa,Chase,4778436300601040,40238,44256,6,61000
American Express,American Express,379158897662358,41183,41548,11,11100
Diners Club International,Diners Club,30004947254401,41395,44317,25,187200
Visa,Barclays,4192390623970500,39692,46997,22,152300
Japan Credit Bureau,JCB,3532572211805210,42461,47574,11,87200
American Express,Bank of America,375299958634078,39630,46935,11,152900
Diners Club International,Diners Club,30092060259794,42095,42826,8,93300
Master Card,GE Capital,5427251665512460,42705,43800,15,117500
American Express,American Express,376052401507071,39845,47150,24,147000
Diners Club International,Diners Club,36387560287145,43040,43405,7,192000
Discover,Discover,6011782102807970,40909,47484,9,126500
Visa,Chase,4947138470592730,40238,44256,20,183000
American Express,American Express,376982784776564,40787,47727,22,171100
Discover,Discover,6011032998256880,39539,43922,6,120100
Discover,Discover,6568035762418240,42064,49004,4,188200
Visa,Citibank,4702261448555510,42736,44562,22,24800
Master Card,Capital One,5342448556384590,39295,40026,1,134300
Master Card,Barclays,5212509849312070,40817,42644,27,94100
Diners Club International,Diners Club,30187288710865,39083,41275,18,48200
Master Card,Citibank,5119175675300930,42248,48458,3,47500
Japan Credit Bureau,JCB,3535941323812280,40422,42248,23,55100
Discover,Discover,6011695181714700,42583,49522,26,177300
Japan Credit Bureau,JCB,3584908039032400,39234,42522,12,182800
Visa,Chase,4624767021954090,40664,44682,2,72600
American Express,American Express,375090545675702,40118,44136,20,73300
American Express,American Express,346639483713911,40695,48000,13,19600
Discover,Discover,6011637442973770,40575,45323,20,120300
Discover,Discover,6011394896948210,39569,45413,27,145600
Japan Credit Bureau,JCB,3543817424987730,40909,41275,24,38200
Discover,Discover,6011146618568200,40817,44470,22,195100
Diners Club International,Diners Club,30935535028055,41913,49218,25,62200
Discover,Discover,6011583802813310,40513,41244,1,198500
Master Card,Barclays,5134945923879340,40238,40969,28,122300
Master Card,USAA,5201234476569260,41426,46174,27,113100
Japan Credit Bureau,JCB,3579503635016830,41395,42491,2,163500
Visa,Chase,4324705410012420,41730,45748,4,139900
Discover,Discover,6011492605759130,42948,48427,3,43500
Master Card,Chase,5344838004914170,40603,44256,24,30700
Visa,Capital One,4716078002432810,41609,46357,18,152500
American Express,U.S. Bancorp,340108819936121,42705,47088,5,130400
Diners Club International,Diners Club,30304869204529,42675,47788,19,182900
Visa,GE Capital,4379262263858750,42248,48092,27,71200
Diners Club International,Diners Club,30486782850130,41122,44044,5,40200
Diners Club International,Diners Club,30169601690438,41275,43101,5,112500
Diners Club International,Diners Club,30359375834920,39722,40087,23,10400
Diners Club International,Diners Club,30537372929260,41518,45536,5,158300
American Express,American Express,378122689451355,40391,47331,9,142800
Discover,Discover,6011498978709170,42217,49522,19,148000
Visa,Bank of America,4485537372628100,40210,44228,28,140700
Diners Club International,Diners Club,30292364772738,41671,42401,28,199600
Diners Club International,Diners Club,30159533863336,42705,43070,23,25700
Master Card,GE Capital,5268082673018180,41852,44044,18,115700
American Express,American Express,346537184078644,39142,42795,28,52200
Visa,Citibank,4144501800284710,43009,48122,14,122700
Diners Club International,Diners Club,30930420253314,41061,48366,22,188100
Visa,Cabela’s WFB,4248831328232660,41974,46722,1,183900
American Express,American Express,374225261325378,39783,42705,7,108700
Diners Club International,Diners Club,30594664179583,40544,45292,13,197100
Japan Credit Bureau,JCB,3530962617203080,41883,46997,7,86700
Diners Club International,Diners Club,30904074911881,42522,43252,20,101700
Diners Club International,Diners Club,30228198091275,40026,46600,8,18400
Master Card,Bank of America,5365381344028060,40817,47027,5,120300
Diners Club International,Diners Club,30348053819014,41760,47969,19,123200
Visa,USAA,4337023394966590,41974,42705,6,51800
Diners Club International,Diners Club,30057745094171,41061,42522,9,185800
Visa,Chase,4525240407905530,39904,40634,17,158500
Visa,Chase,4735673478248740,41518,48458,24,157900
Master Card,Capital One,5207870229715140,42217,45870,26,26500
Discover,Discover,6011662927234040,42979,46631,26,174800
Discover,Discover,6011699942099290,39600,46905,10,31300
Discover,Discover,6011194639541300,39845,40210,4,158100
Visa,Citibank,4730001729945050,40238,44986,11,157300
Master Card,Citibank,5413964411037880,39722,45566,3,99400
Japan Credit Bureau,JCB,3562281017549220,40057,42979,19,131500
Visa,Citibank,4607071892033360,41306,42767,19,182000
Visa,Barclays,4848688442766170,40909,45658,21,122900
Diners Club International,Diners Club,39041078763595,40452,44470,21,103700
American Express,American Express,373943976037119,41821,42917,23,80600
Discover,Discover,6011985996531510,42309,46327,1,49400
American Express,American Express,348261571776391,40664,46143,17,89200
Discover,Discover,6011050612254380,41671,42767,14,127400
Japan Credit Bureau,JCB,3587903732729070,39508,43891,15,198500
Visa,PNC,4966721347451020,39083,46023,2,24300
Discover,Discover,6011734316207350,41334,47178,5,65400
Master Card,Bank of America,5268841761553610,39600,42156,1,18800
Diners Club International,Diners Club,30112473198528,40513,47088,15,94000
Master Card,Chase,5121231357351050,42705,46722,10,143700
Japan Credit Bureau,JCB,3547320690375710,39295,45139,9,154100
Visa,Chase,4627925312189450,41944,48884,27,49800
Japan Credit Bureau,JCB,3560397815664840,40513,42705,20,152800
Diners Club International,Diners Club,30193103068711,41821,49126,4,18000
Japan Credit Bureau,JCB,3580777397791400,42370,46388,10,156200
American Express,American Express,378944896320986,40452,45566,24,180900
Diners Club International,Diners Club,30481765221813,42125,45047,19,172700
Diners Club International,Diners Club,30901388375159,39234,45444,1,35200
Visa,Chase,4972167318695010,39692,42248,21,40300
Discover,Discover,6011432804401570,39417,42705,21,198900
American Express,American Express,348500814073052,40664,41030,28,112900
Master Card,Barclays,5359928955544360,39142,41699,18,45400
Master Card,Citibank,5239174582654120,39904,46844,24,122700
Discover,Discover,6011786532405440,42887,49461,15,23300
Japan Credit Bureau,JCB,3536838040429120,39203,42125,4,79500
Japan Credit Bureau,JCB,3559624487966690,41579,44501,20,70000
Japan Credit Bureau,JCB,3556364069256970,41760,43952,27,71200
Master Card,Chase,5155980493793030,39508,40603,9,10300
Master Card,Chase,5184073678601880,39753,43040,27,169000
Visa,Chase,4943827042883000,39783,40878,12,32200
Visa,Chase,4631808909042440,41122,43313,9,142700
Discover,Discover,6011391766602950,40026,42217,12,83000
Japan Credit Bureau,JCB,3557654767945350,41852,45870,25,117600
Diners Club International,Diners Club,30133091573058,41974,45261,11,15600
Visa,Cabela’s WFB,4515308907110480,42675,46692,1,157100
Japan Credit Bureau,JCB,3588636486105470,41456,48761,25,78700
Japan Credit Bureau,JCB,3559134103022400,42826,45017,9,50100
Visa,Citibank,4322020385569990,41426,46905,24,87300
Japan Credit Bureau,JCB,3549251997999190,41183,44105,9,84500
Discover,Discover,6011935930821690,40360,46935,17,184100
Discover,Discover,6011610182604310,41306,41671,13,21600
American Express,American Express,375943463780823,42767,43497,10,66000
Master Card,Capital One,5335843017098290,42917,45839,2,128600
Visa,Bank of America,4070916050048200,40179,42005,26,198300
Discover,Discover,6011267694379330,40969,48274,6,80500
American Express,U.S. Bancorp,374054875083649,39539,41365,16,138200
American Express,American Express,377801752590915,40544,42370,20,81000
Visa,Chase,4439492472322950,41852,45139,7,180500
American Express,American Express,344626151641799,39995,40360,3,122100
Discover,Discover,6011055293959950,42644,45931,6,127300
American Express,American Express,348113710387913,40603,44621,5,137200
Visa,Capital One,4238311217765130,41000,46844,11,112800
Master Card,Bank of America,5271677353053500,42614,45170,15,17800
Japan Credit Bureau,JCB,3571686356843540,39417,44166,3,112000
Master Card,Citibank,5219031951574350,41913,44835,9,92200
Visa,Chase,4216816596923400,42675,47058,17,82300
Visa,USAA,4422242087541360,42036,45689,24,72800
Japan Credit Bureau,JCB,3550429848074390,42186,46204,16,85000
Japan Credit Bureau,JCB,3560140373385250,42036,44593,16,179300
Visa,Bank of America,4319156188341730,42370,47484,6,72600
Diners Club International,Diners Club,30330723182056,40087,46296,18,129500
American Express,American Express,371603329710943,42125,46143,27,18200
Diners Club International,Diners Club,30980428614850,41609,48183,8,42600
Japan Credit Bureau,JCB,3560306912263810,40695,45809,1,183100
American Express,U.S. Bancorp,374038586019174,41760,43586,25,24900
American Express,U.S. Bancorp,373840307593887,40422,40787,8,168200
Diners Club International,Diners Club,30382453657096,40179,44562,7,142900
American Express,Bank of America,376759755820328,42064,44256,6,132600
Diners Club International,Diners Club,38060173220187,40725,44743,2,168700
American Express,American Express,343550951200518,40513,41609,13,186100
Visa,Chase,4857089144104310,42217,44409,25,44800
Master Card,Capital One,5379206880683020,42705,48183,9,105900
Japan Credit Bureau,JCB,3556122852703610,40299,45778,2,110800
Discover,Discover,6011632107745380,42064,42795,25,75900
Visa,First National,4652209400476540,39479,41306,19,129200
Visa,Capital One,4024387783713040,39142,42430,7,25900
Master Card,Citibank,5442730356521020,40360,42917,24,136300
Discover,Discover,6227352864121150,42064,42795,18,43500
American Express,Bank of America,345399230882854,42917,49491,1,108800
Visa,Chase,4110990843792720,39356,44835,22,189400
Discover,Discover,6011833634756660,41091,44013,19,18200
Japan Credit Bureau,JCB,3585326258726700,42430,44621,25,12900
Visa,Chase,4929967439411820,41913,43009,13,180500
Diners Club International,Diners Club,30192924068843,41244,42705,22,163500
Master Card,Bank of America,5185897993864780,42095,43191,3,186800
Visa,First National,4235312045071160,41974,42705,22,182100
Master Card,GE Capital,5335592292268260,41306,43497,21,95200
Japan Credit Bureau,JCB,3588287141372500,41640,44927,19,182000
Visa,Bank of America,4107690864066310,41548,42278,22,108400
Diners Club International,Diners Club,30270506634438,42583,42948,5,124800
Master Card,Chase,5498526608701180,41030,41395,16,22700
Master Card,Chase,5289499788967320,39114,40940,17,177100
Visa,PNC,4659009857287290,39753,45231,24,196300
Japan Credit Bureau,JCB,3563418942582410,39114,42767,22,170400
Diners Club International,Diners Club,30404468812316,40787,43344,19,17400
Discover,Discover,6011245276113560,41395,47239,7,94700
Discover,Discover,6011440220363200,39661,44409,7,21100
American Express,Bank of America,375305470310707,41306,46419,10,98200
Diners Club International,Diners Club,30165285200437,39722,43374,20,12400
Visa,Chase,4229413764138070,39995,44378,26,55700
Master Card,Capital One,5120603793039260,39326,45170,2,165200
Diners Club International,Diners Club,30003809294968,41153,42614,21,177400
Master Card,Citibank,5107770209538120,42401,47150,16,109500
Japan Credit Bureau,JCB,3553101707226550,39417,39783,21,136500
American Express,U.S. Bancorp,370546832218899,42736,46023,6,162300
American Express,American Express,374833689849877,40848,41944,9,45900
Master Card,Chase,5140509022294610,42278,44835,20,52600
Master Card,Chase,5276245444024660,40664,45778,9,98600
Visa,GE Capital,4667016177755060,42856,46508,4,150000
Japan Credit Bureau,JCB,3547812606909640,39904,46478,13,146900
Visa,Capital One,4867617056138330,40118,45597,6,38400
Japan Credit Bureau,JCB,3574360874881380,42125,49065,27,15700
American Express,American Express,370377610148862,40087,44470,25,120600
Visa,Citibank,4873855557381120,41000,43922,4,42200
Discover,Discover,6011931768563170,40848,45231,23,87300
Master Card,GE Capital,5286811039719470,40664,42125,17,104600
Master Card,Chase,5339774385951910,39934,41760,10,171400
Visa,Citibank,4566440582353480,39934,45413,20,115100
Master Card,Chase,5404801998639310,42522,48731,24,109100
Visa,Chase,4140942365038710,41456,41821,23,174100
Discover,Discover,6011748621682160,42401,43862,8,49300
Master Card,Citibank,5341027929892720,39783,44531,11,68600
Discover,Discover,6011891903457690,42736,48580,25,134900
Discover,Discover,6573525997524100,39845,44228,28,68900
Visa,Chase,4168471084740550,40299,41760,11,93700
Master Card,U.S. Bancorp,5273834829301070,39417,44531,18,160300
Discover,Discover,6516548518049950,39295,41487,6,107100
Master Card,Chase,5489943384746170,39814,40909,16,176200
American Express,American Express,345356129197992,42917,50222,7,34700
Master Card,Citibank,5137487248818780,42248,45536,23,176500
Visa,Chase,4430848228898240,42036,49341,22,59200
Visa,GE Capital,4437221223560370,40848,44136,26,96000
